id,title,authors,year,venue,publication_status,arxiv,doi,primary_url,domain,explicit_world_model,modeled_system,observation,state,state_type,action,transition,prediction_target,rollout_horizon,evaluation,dataset,downstream_purpose,strongest_contribution,limitation,relevance_to_MedicalWorldModel,rollout_mechanism,time_scale,uncertainty,planning,official_project_repository,read_depth,source_locator,version_note,verified_date,evidence_scope,metadata_verification
"M13","X-WIN: Building Chest Radiograph World Model via Predictive Sensing","Zefan Yang; Ge Wang; James Hendler; Mannudeep K. Kalra; Pingkun Yan","2026","CVPR:6920–6930","Published","2511.14918","UNKNOWN","https://openaccess.thecvf.com/content/CVPR2026/html/Yang_X-WIN_Building_Chest_Radiograph_World_Model_via_Predictive_Sensing_CVPR_2026_paper.html","B: X-ray acquisition/representation","yes","B: X-ray acquisition/representation","CT-derived projections and real radiographs","predictive sensing latent","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","3D geometric transform of projection","predict projection features; align real CXR representation","unseen projection features / downstream tasks","view transformation; not disease time rollout","linear/few-shot probes; CT reconstruction","CT/CXR data; dataset specifics UNKNOWN in abstract extraction","representation learning","acquisition world modeling outside ultrasound","synthetic view transition not future disease nor physical device command","B includes non-ultrasound imaging","CT-derived view/representation prediction; no disease-time rollout verified","view domain; physical time N/A","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","none","UNKNOWN","metadata + abstract","Trang nguồn/abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"M14","Surgical Vision World Model","Saurabh Koju; Saurav Bastola; Prashant Shrestha; Sanskar Amgain; Yash Raj Shrestha; Rudra P. K. Poudel; Binod Bhattarai","2025","DEMI workshop at MICCAI:1–10","Published workshop chapter","2503.02904","10.1007/978-3-032-08009-7_1","https://doi.org/10.1007/978-3-032-08009-7_1","surgical video","yes","surgical video","unlabeled surgical videos","video tokens + inferred latent actions","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","latent action code; not robot command","interactive generative video dynamics","next surgical frames","multi-frame; numeric UNKNOWN","video generation and action controllability","SurgToolLoc2022","controllable surgery video simulation","latent-action surgical simulator","unlabeled code does not identify tissue/action physics","strictly separate visual controllability from intervention","latent-action autoregressive surgical video","bước môi trường; đổi sang giây UNKNOWN","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","UNKNOWN","https://github.com/bhattarailab/Surgical-Vision-World-Model","metadata + abstract","Trang nguồn/abstract","DEMI workshop chapter verified author page https://saurabhkoju.com.np/publications/ + Springer book; chapter resolver error; methods scope from arXiv. Not MICCAI main. Crossref DOI metadata matched after retry 2026-09-12. Crossref online 2025-10-12 / print 2026; giữ workshop 2025.","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M15","SAW: Toward a Surgical Action World Model via Controllable and Scalable Video Generation","Sampath Rapuri; Lalithkumar Seenivasan; Dominik Schneider; Roger Soberanis-Mukul; Yufan He; Hao Ding; Jiru Xu; Chenhao Yu; Chenyan Jing; Pengfei Guo; Daguang Xu; Mathias Unberath","2026","arXiv; venue UNKNOWN","Preprint","2603.13024","UNKNOWN","https://arxiv.org/abs/2603.13024","surgical video","yes","surgical video","reference image; prompts; tool trajectory","generative video/depth representation","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","2D tool-tip trajectory and affordance conditions","controlled video generation","surgical clip","clip-based; numeric UNKNOWN","depth consistency; downstream action recognition using augmentation","12,044 curated clips reported","data augmentation/recognition","downstream test beyond image quality","2D trajectory is not force-grounded surgical action","medical models already use geometry and downstream evaluation","trajectory-conditioned video generation; no command-control rollout verified","bước môi trường; đổi sang giây UNKNOWN","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","none verified","UNKNOWN","metadata + abstract","Trang nguồn/abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"M16","Cosmos-Surg-dVRK: World Foundation Model-based Automated Online Evaluation of Surgical Robot Policy Learning","Lukas Zbinden; Nigel Nelson; Juo-Tung Chen; Xinhao Chen; Ji Woong Kim; Mahdi Azizian; Axel Krieger; Sean Huver","2025","arXiv; venue UNKNOWN","Preprint","2510.16240v2","UNKNOWN","https://arxiv.org/abs/2510.16240v2","surgical robotics","yes","surgical robotics","images; kinematic actions","video latent/history","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","robot kinematics","conditioned video rollout + success classifier","future video; predicted task success","closed-loop model evaluation; numeric horizon UNKNOWN","real-vs-sim policy outcome agreement; human-classifier agreement","tabletop suture pad; ex-vivo porcine cholecystectomy","evaluate policies without physical reruns","medical policy-evaluation prior art","positive success bias; physical anomalies; small ex-vivo evaluation; no patient benefit evidence","invalidates claim that medical WM never evaluate decisions","online policy interacts with generated video observations","robot trajectory","success-rank alignment measured; model positively biases success; calibrated probabilities UNKNOWN","policy evaluation; not treatment planning","UNKNOWN","full-text system/evaluation; §5.2–5.3","Table1–3; §5.2.3 hallucinations; §5.3 ex-vivo","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"M17","Continuous-Time Deep Glioma Growth Models","Jens Petersen; Fabian Isensee; Gregor Köhler; Paul F. Jäger; David Zimmerer; Ulf Neuberger; Wolfgang Wick; Jürgen Debus; Sabine Heiland; Martin Bendszus; Philipp Vollmuth; Klaus H. Maier-Hein","2021","MICCAI; LNCS12903:83–92","Published","2106.12917v2","10.1007/978-3-030-87199-4_8","https://doi.org/10.1007/978-3-030-87199-4_8","C: glioma spatial progression","no","Longitudinal spatial glioma growth between MRI visits","2–5 context MRI/segmentation observations with time; 379 patients and 3–13 visits in the source cohort","Global stochastic trajectory code plus multiscale context representation","Predictive latent spatial state; not validated as biological cell state","none; treatment effects omitted by the paper and treated as stochasticity","Continuous-time conditional neural process queried at arbitrary target times","Distribution of future tumor segmentation masks","Arbitrary query time; one target conditional on 2–5 context observations; free 2-past→2-future rollout UNKNOWN","Test loss, KL surprise, predictive Dice and Query Volume Dice; Query Volume Dice selects the closest whole-tumor-volume sample among 100 using the future target volume; future-volume oracle selection is not deployable sample selection; endpoint-conditional query is distinct from unconditional forecast","Randomized lomustine+bevacizumab versus chemotherapy glioma trial; 379 patients; 3–13 scans","Plausible spatial growth forecasting","Continuous-time multi-context stochastic spatial future prediction","Oracle future-volume sample selection; no calibration/coverage; not evidence of treatment-free natural history or biology","Direct adverse prior art for glioma state/transition and stochastic spatial futures","Global trajectory sampling and target-time query, not demonstrated recursive free-run","Longitudinal MRI visits; arbitrary continuous target time","Stochastic samples; calibration UNKNOWN","none","https://github.com/MIC-DKFZ/deep-glioma-growth","full-text methods/evaluation","§2.1–2.2; Query Volume Dice; Đợt 2: arXiv HTML abstract, methods and evaluation; Query Volume Dice","Canonical MICCAI 2021; full methods read in arXiv 2106.12917v2; publisher book metadata corroborated by DKFZ institutional repository. Crossref DOI metadata matched after retry 2026-09-12.","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M18","Learning Spatio-Temporal Model of Disease Progression With NeuralODEs From Longitudinal Volumetric Data","Dmitrii Lachinov; Arunava Chakravarty; Christoph Grechenig; Ursula Schmidt-Erfurth; Hrvoje Bogunović","2024","IEEE TMI 43(3):1165–1179","Published; online 2023, issue 2024","2211.04234","10.1109/TMI.2023.3330576","https://doi.org/10.1109/TMI.2023.3330576","C: geographic atrophy / brain ventricles","no","Anatomical disease progression from longitudinal volumetric imaging","Baseline OCT/MRI volume and future elapsed time","Voxel embedding/logit initial state decoded into anatomical segmentation","Predictive anatomical representation; not proven biological state","none","Autonomous NeuralODE with optional nondecreasing disease constraints","Future anatomical segmentation and volume","Requested future times and multiple evaluation settings; free multi-step patient rollout UNKNOWN","Temporal Dice, volume R2/r/MAE, MUV-GA 5-fold CV, ADNI 5-fold CV and TADPOLE holdout","MUV-GA 967 OCT volumes/100 patients; ADNI 2,823 brain MRI volumes/633 patients; TADPOLE holdout","Anatomical progression prediction and trial fast-progressor enrichment","Explicit continuous-time anatomical future segmentation with domain constraints","Automated FastSurfer ventricle references may be easier than expert anatomy; no uncertainty calibration or intervention","Directly invalidates broad novelty of continuous anatomical state transition","ODE integration to target time with segmentation readout","Disease follow-up over years","UNKNOWN","none","UNKNOWN","full-text §II and evaluation design","§II initial value problem; temporal Dice; TADPOLE evaluation; Đợt 2: arXiv full text methods and evaluation; published DOI","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M19","Probabilistic Temporal Prediction of Continuous Disease Trajectories and Treatment Effects Using Neural SDEs","Joshua Durso-Finley; Berardino Barile; Jean-Pierre Falet; Douglas L. Arnold; Nick Pawlowski; Tal Arbel","2024","MICCAI; LNCS15003:400–410","Published","2406.12807v1","10.1007/978-3-031-72384-1_38","https://papers.miccai.org/miccai-2024/619-Paper3431.html","C: MS disability trajectories","no","Continuous MS clinical disease/disability trajectory conditioned on MRI, clinical variables and treatment assignment","Baseline MRI plus clinical/demographic features and treatment assignment","Joint latent disease trajectory read out as EDSS","Predictive clinical latent; not lesion-image state","Randomized treatment assignment/condition in RCT data","Treatment-conditioned Neural SDE","Factual future EDSS and treatment contrasts","Approximately 12-week intervals through week 96 in the reported factual evaluation","Future EDSS MSE against non-temporal/LSTM baselines; confidence filtering lowers error for high-confidence subgroup; treatment-response/uplift analyses","Six proprietary MS randomized clinical trials, reported as multi-centre and >3,600 participants in the paper context","Continuous clinical progression and treatment-effect subgroup analysis","Stochastic continuous clinical trajectory with treatment contrast and uncertainty ranking","Not a visual lesion-state forecast; counterfactual validity depends on RCT/potential-outcome assumptions and no closed-loop policy is evaluated","Adverse prior art for broad stochastic continuous medical dynamics and treatment analysis","Sample latent SDE trajectories and EDSS readout","Clinical visits; approximately 12 weeks to week 96","Trajectory variance/confidence and confidence-error filtering; calibration coverage UNKNOWN","No policy planning; treatment contrast analysis","UNKNOWN","full-text §2–3","§2.2 potential outcomes/RCT independence; §3 trials; Đợt 2: MICCAI official paper page and arXiv §§2–3","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh Crossref DOI metadata matched after retry 2026-09-12.","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M20","Predictive digital twins with quantified uncertainty for patient-specific decision making in oncology","Graham Pash; Umberto Villa; David A. Hormuth II; Thomas E. Yankeelov; Karen Willcox","2026","Journal of Computational Physics 560:114937","Published 2026-09-01","2505.08927","10.1016/j.jcp.2026.114937","https://www.sciencedirect.com/science/article/pii/S0021999126002901","C: mechanistic glioma digital twin","no","Patient-specific glioma cellularity/anatomy under recorded treatment schedule","Longitudinal MRI-derived cellularity/tumor proxy, anatomy and radiotherapy/chemotherapy schedule","Cell-density field and posterior spatial proliferation/diffusion/treatment parameters","Mechanistic/model-based state inferred from imaging proxies; not direct in-vivo cellularity measurement","Specified treatment schedule as model input; intervention validity not established","Reaction-diffusion PDE with treatment terms and implicit Euler one-day solver","Tumor volume, spatial cellularity and quantities of interest","Historical first-to-last scan window with last image held out; forward simulation; broad prospective multi-step validation UNKNOWN","Posterior predictive spatial agreement/Dice/cellularity and experimental-design analysis; model inadequacy discussed","UPENN-GBM and IvyGAP longitudinal MRI/treatment data as described by paper","Forecasting and virtual experimental-design analysis","Mechanistic data assimilation with posterior uncertainty and held-out last-scan prediction","Model adequacy and clinical utility are not established; posterior uncertainty is not a cohort-level calibration/coverage guarantee","Strong adverse prior art for mechanistic state, treatment schedule, uncertainty and forward simulation","Numerical PDE forward solve after Bayesian parameter assimilation","Daily numerical steps over clinical treatment/follow-up interval","Bayesian posterior/low-rank Laplace propagation","Experimental-design analysis; no validated closed-loop clinical policy","https://github.com/gtpash/dt4co","full-text §3–5","§4.3; §5.1–5.3; AppendixC; Đợt 2: arXiv HTML §§3–5 and Appendix C; published DOI metadata","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh Crossref DOI metadata matched after retry 2026-09-12.","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M21","Online prediction for respiratory movement compensation: a patient-specific gating control for MRI-guided radiotherapy","Yang Li; Zhenjiang Li; Jian Zhu; Baosheng Li; Huazhong Shu; Di Ge","2023","Radiation Oncology 18:149","Published","UNKNOWN","10.1186/s13014-023-02341-1","https://doi.org/10.1186/s13014-023-02341-1","A: respiratory gating","no","A: respiratory gating","cine-derived motion trace","recent motion regression state","measured/inferred position trace history","none","adaptive linear / recurrent trace prediction","threshold crossing / gating signal","0.4 and0.6 s","gating/prediction comparison; linear beats RNN in studied setting","21 liver +10 lung cancer patients","latency-aware gating","simple predictor tested on downstream surrogate","retrospective gating result not prospective benefit","do not assume learned latent beats adaptive linear","online direct respiratory-position prediction","subsecond","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","gating-rule assessment","UNKNOWN","full PMC methods/evaluation (round2)","https://d-nb.info/1318665426/34; Methods; A audit: linear prediction, crossing/gating error and prediction timing","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh Crossref DOI metadata matched after retry 2026-09-12.","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M22","Real-time prediction and gating of respiratory motion using an extended Kalman filter and Gaussian process regression","W. Bukhari; S.-M. Hong","2015","Physics in Medicine & Biology 60(1):233–252","Published; epub 2014","UNKNOWN","10.1088/0031-9155/60/1/233","https://pubmed.ncbi.nlm.nih.gov/25489980/","A: respiratory prediction and gating","no","A: respiratory prediction and gating","respiratory traces","EKF state + GP residual","explicit estimated motion state","none","state transition and probabilistic residual correction","future displacement; high-error warning","short look-ahead; exact range UNKNOWN","prediction error and variance-based gating","clinical respiratory traces; access UNKNOWN","gate high-risk prediction periods","uncertainty-based gating predates deep WM","Gaussian assumptions; transport to cine anatomy unproven","invalidates generic uncertainty-aware gating novelty","filter update + prediction/gating; fresh observations distinct from open-loop","subsecond","EKF covariance and GP predictive variance","gating rather than policy search","UNKNOWN","indexed original abstract/metadata","Trang nguồn/abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M23","Freehand Ultrasound Image Simulation with Spatially-Conditioned Generative Adversarial Networks","Yipeng Hu; Eli Gibson; Li-Lin Lee; Weidi Xie; Dean C. Barratt; Tom Vercauteren; J. Alison Noble","2017","RAMBO at MICCAI","Accepted/published chapter DOI recorded","1707.05392v1","10.1007/978-3-319-67564-0_11","https://arxiv.org/abs/1707.05392","B: ultrasound observation simulator","no","Spatially conditioned ultrasound image appearance field","Calibrated x/y/z physical coordinate grids plus Gaussian noise","No temporal state; query location-conditioned appearance","Geometric/query-conditioned predictive representation; not validated clinical state","None","None; direct conditional image generation","Synthetic ultrasound image at a queried physical location","None; same-location held-out query evaluation","Held-out-location image/landmark realism; reader discrimination; speed; no multi-step forecast","One-hour fetal phantom scan; >10-year sonographer; 26,396 selected frames; Polaris Spectra; 4 sessions","Freehand ultrasound simulation and spatial query synthesis","Injects physical coordinate grids into generator/discriminator for spatial conditioning","No temporal transition, action conditioning, future query protocol, or physical patient validation","Close prior against broad pose-conditioned ultrasound novelty; does not test prefix-to-future state forecasting","None","Spatial query only","Gaussian input noise; no calibrated predictive uncertainty","No","UNKNOWN","author PDF §2.1–2.3 and §3 methods/evaluation (round2)","Trang nguồn/abstract; Round2: PDF §§2.1-2.3, 3-4; UCL record","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M24","A technical assessment of latent diffusion for Alzheimer's disease progression","Elyssa M. McMaster; Lemuel Puglisi; Chenyu Gao; Aravind R. Krishnan; Adam M. Saunders; Daniele Ravi; Lori L. Beason-Held; Susan M. Resnick; Lianrui Zuo; Daniel Moyer; Bennett A. Landman","2025","SPIE Medical Imaging; Proc SPIE13406:1340621","Published proceedings","UNKNOWN","10.1117/12.3047135","https://pmc.ncbi.nlm.nih.gov/articles/PMC12726967/","C: external BrLP assessment","no","C: external BrLP assessment","baseline T1 MRI; age/status condition","inherited BrLP state","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","cognitive-status condition; not intervention","BrLP generation evaluated externally","future MRI/regional volumes","follow-up; exact horizon UNKNOWN","image metrics vs conditional/unconditional regions","Baltimore Longitudinal Study of Aging","external validity assessment","shows similarity and disease-conditioned behavior can disagree","pilot study; not proof all image synthesis useless","evaluate actual change, not SSIM alone","external assessment of conditioned BrLP generation","bước môi trường; đổi sang giây UNKNOWN","not a new uncertainty model","none","UNKNOWN","original full-text search extraction methods/abstract","Abstract; §2 methodology; diagnostic-condition comparison","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M25","A radiographic world model for clinical reasoning and evidence generation","Suyang Xi; Songtao Hu; Shansong Wang; Mojtaba Safari; Luke del Balzo; Ehsan Ul Karim; Mingzhe Hu; Kuo Zhang; Tonghe Wang; Ralph R. Weichselbaum; Xiaofeng Yang","2026","arXiv; venue UNKNOWN","Preprint","2609.07719","UNKNOWN","https://arxiv.org/abs/2609.07719","radiographic reasoning / MedDream","yes","radiographic reasoning / MedDream","radiograph and text","shared image-text latent","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","text condition; not time/action dynamics","cross-modal predictive/generative mapping","diagnostic evidence/radiograph representation","temporal rollout not established","reported reasoning/reader/augmentation tasks","CXR data; release specifics UNKNOWN in extraction","clinical reasoning representation","explicit WM label extends beyond temporal simulators","clinical interpretability not guaranteed by naming","classification contrast: not evidence of disease forecasting","radiograph/text representation and reasoning; no temporal transition verified","N/A temporal transition absent in reviewed evidence","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","not demonstrated","UNKNOWN","metadata + abstract","Trang nguồn/abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary proceedings/arXiv/official author record; read depth and version limits above"
"M26","World Model for AI Autonomous Navigation in Mechanical Thrombectomy","Harry Robertshaw; Han-Ru Wu; Alejandro Granados; Thomas C. Booth","2025","MICCAI; LNCS15968:680–690","Published","2509.25518","10.1007/978-3-032-05114-1_65","https://papers.miccai.org/miccai-2025/1021-Paper3014.html","embodied interventional navigation","yes","embodied interventional navigation","navigation observations; exact sensor contract UNKNOWN","TD-MPC2 latent","latent dự đoán; ý nghĩa vật lý/sinh học chưa tự xác lập","navigation controls","latent model predictive control","navigation state/value","task rollout; exact horizon UNKNOWN","navigation success and duration","patient-derived vasculatures; deployment setting not extracted","thrombectomy navigation","control-oriented medical WM example","abstract alone insufficient to claim in-patient success","medical WM need not output images","TD-MPC2 latent rollouts; deployment details UNKNOWN in extraction","bước môi trường; đổi sang giây UNKNOWN","UNKNOWN: chưa xác minh hiệu chuẩn xác suất","TD-MPC2 model predictive control","UNKNOWN","official metadata/abstract; methods details not used","Trang nguồn/abstract","arXiv version UNKNOWN nếu không ghi vN; canonical là bản công bố khi đã xác minh; Crossref: online 2025-09-21, print 2026; canonical conference year giữ 2025.","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"M27","Combining Biology-based and MRI Data-driven Modeling to Predict Response to Neoadjuvant Chemotherapy in Patients with Triple-Negative Breast Cancer","Casey E. Stowers; Chengyue Wu; Zhan Xu; Sidharth Kumar; Clinton Yam; Jong Bum Son; Jingfei Ma; Jonathan I. Tamir; Gaiane M. Rauch; Thomas E. Yankeelov","2025","Radiology: Artificial Intelligence 7(1):e240124","Published; online 2024, issue 2025","UNKNOWN","10.1148/ryai.240124","https://pubs.rsna.org/doi/10.1148/ryai.240124","C: breast tumor response","no","Patient-specific tumor response during neoadjuvant chemotherapy","Pretreatment multiparametric MRI; source ARTEMIS trial also has visit 2 after two cycles and visit 3 after four cycles","Parameters of a calibrated biology-based mathematical model, including tumor cell net proliferation behavior","Mechanistic model parameter inferred from imaging; not direct cellular measurement","Neoadjuvant chemotherapy regimen/context","Biology-based tumor response model driven by CNN-predicted parameters","Mid/end treatment total tumor cellularity and total tumor volume; pathologic complete response status","Pretreatment to mid/end NAC; three trial visits in source description; free multi-step rollout UNKNOWN","118 women; concordance correlation for predicted/measured TTC/TTV and ROC AUC for pCR; MRI-only parameter prediction evaluated against calibrated model outcomes","ARTEMIS prospective clinical trial, NCT02276443; 118 stage I–III TNBC patients","Pretreatment response forecast and pCR prediction","Couples pretreatment MRI CNN with interpretable biology-based response model","Treatment response remains cohort/model conditional; not a validated counterfactual policy or public multi-visit benchmark; no broad calibration/coverage report","Strong adverse prior art for treatment-response state/transition claims, especially Q8","Infer model parameters from baseline MRI, then forward biology-based simulation","Neoadjuvant cycles and mid/end treatment visits","95% confidence intervals for reported metrics; predictive state calibration UNKNOWN","none","UNKNOWN","original PDF methods/evaluation pp2–5","Mathematical Model; CNN Inputs and Outputs; Patient Demographics; pCR subset; Đợt 2: RSNA primary HTML abstract, key points and Materials and Methods patient data","RSNA PDF ghi issue 2025, copyright/online 2024","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source + Crossref DOI metadata checked 2026-09-12; author/title normalization reviewed"
"G27","Predictive Representations of State","Michael L. Littman; Richard S. Sutton; Satinder Singh","2001","NeurIPS 14","Published","UNKNOWN","UNKNOWN","https://proceedings.neurips.cc/paper/2001/hash/1e4d36177d71bbb3558e43af9577d70e-Abstract.html","Foundational predictive state theory","no","Foundational predictive state theory","action-observation history","probabilities of core future tests","predictive sufficient statistic, not hidden biological state","discrete actions","recursive predictive-state update; projections to other tests","probability of future observation sequences","arbitrary tests under finite-POMDP representability","representation theorem; illustrative float/reset system","theoretical finite systems","state sufficient for prediction","state grounded in future tests","existence result does not establish learnability from medical images","sufficiency must be scoped to target/query, not anatomical naming","recursive test-probability updates","discrete steps; no physical duration","stochastic observation probabilities","not performed; prediction theory","UNKNOWN","full original PDF §1–3, Theorem 1","§1 Eq1–3; Theorem1; conclusion","conference year 2001; proceedings volume 14; no invented DOI","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source methods/metadata checked 2026-09-12; see STATE_AND_EVALUATION_AUDIT"
"G28","WorldSimBench: Towards Video Generation Models as World Simulators","Yiran Qin; Zhelun Shi; Jiwen Yu; Xijun Wang; Enshen Zhou; Lijun Li; Zhenfei Yin; Xihui Liu; Lu Sheng; Jing Shao; Lei Bai; Ruimao Zhang","2025","ICML; PMLR 267:50338–50362","Published","2410.18072","UNKNOWN","https://proceedings.mlr.press/v267/qin25f.html","CV/embodied evaluation benchmark","yes","CV/embodied evaluation benchmark","current RGB + text instructions","evaluated video-model state; not a common physical state","benchmark; model-dependent latent/history","text subtask; video-to-action/goal policy produces executed actions","future video prediction, adapter, execution and observation refresh","generated future and executed task outcome","receding-horizon episodes; single common duration UNKNOWN","human preference; MineRL counters; CARLA infractions; CALVIN success","HF-Embodied; MineRL; CARLA/LangAuto; CALVIN","test actionable video utility","pairs perceptual and manipulative evaluation","pipeline utility cannot isolate video dynamics from controller/adapters","utility evaluation transferable; modality hierarchy not adopted","generate video → execute decoded controls → refreshed real simulator observation","task/environment dependent","no verified calibrated trajectory uncertainty protocol","yes, high-level task breakdown and closed-loop video-to-action pipeline","https://iranqin.github.io/WorldSimBench.github.io","canonical proceedings PDF methods/evaluation, rendered page","§3.2; Fig3; §4.1; pp6–7","arXiv first posted 2024; proceedings canonical 2025; author list differs (arXiv includes Wanli Ouyang)","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source methods/metadata checked 2026-09-12; see STATE_AND_EVALUATION_AUDIT"
"G29","WorldModelBench: Judging Video Generation Models As World Models","Dacheng Li; Yunhao Fang; Yukang Chen; Shuo Yang; Shiyi Cao; Justin Wong; Michael Luo; Xiaolong Wang; Hongxu Yin; Joseph E. Gonzalez; Ion Stoica; Song Han; Yao Lu","2025","NeurIPS 38, Datasets and Benchmarks Track","Published","2502.20694","10.52202/085713-1834","https://proceedings.neurips.cc/paper_files/paper/2025/hash/4ec03ed08a3fcb59e1c815b5598beff1-Abstract-Datasets_and_Benchmarks_Track.html","world-model video evaluation benchmark","yes","world-model video evaluation benchmark","text and optional first image","model-specific generated-video representation","benchmark; no unified latent physical state","language action description, no executed action experiment","video generation → human/learned judgment","instruction fulfillment and annotated physical violations","clip-level; common physical horizon UNKNOWN","human labels, learned-judge agreement, alignment experiment","WorldModelBench prompts/videos/human labels","detect violations missed by appearance-only evaluation","fine-grained evaluation of physical plausibility","physical-law labels are proxies, not measurement of physical-state trajectories","medical judge requires independent target-domain validation","model generates a conditioned clip; no verified environmental closed loop","video clip","human disagreement; not predictive uncertainty calibration","not performed","https://github.com/WorldModelBench-Team/WorldModelBench","canonical NeurIPS PDF §3–4 plus arXiv full HTML","§3.1 grading; §3.2 curation; §3.3 judge; §4","canonical published abstract differs from initial arXiv performance wording; no numbers mixed","2026-09-12","VERIFIED: metadata và mô tả nguồn; INTERPRETATION / HYPOTHESIS: limitation và relevance","Primary source methods/metadata checked 2026-09-12; see STATE_AND_EVALUATION_AUDIT; Crossref DOI/title/authors/year corroborated"
